datetime_utc,ground_station,range_rate
2020-01-01 06:26:00,Svalbard,6585.6906343997725
2020-01-01 06:26:30,Svalbard,6748.275908168567
2020-01-01 06:27:00,Svalbard,6852.27095730156
2020-01-01 06:27:30,Svalbard,6919.217029274609
2020-01-01 06:28:00,Svalbard,6961.499229004079
2020-01-01 06:28:30,Svalbard,6986.567801448214
2020-01-01 06:29:00,Svalbard,6999.0907177335
2020-01-01 07:52:30,Svalbard,-6687.574567214546
2020-01-01 07:53:00,Svalbard,-6623.547749280891
2020-01-01 07:53:30,Svalbard,-6533.2657919475405
2020-01-01 07:54:00,Svalbard,-6407.086665578799
2020-01-01 07:54:30,Svalbard,-6230.5731773064
2020-01-01 07:55:00,Svalbard,-5981.805112613819
2020-01-01 07:55:30,Svalbard,-5627.377366504898
2020-01-01 07:56:00,Svalbard,-5117.348592346816
2020-01-01 07:56:30,Svalbard,-4382.128790368201
2020-01-01 07:57:00,Svalbard,-3342.1331133659414
2020-01-01 07:57:30,Svalbard,-1952.3292251726991
2020-01-01 07:58:00,Svalbard,-286.7331852928422
2020-01-01 07:58:30,Svalbard,1424.8235820404552
2020-01-01 07:59:00,Svalbard,2921.2681494264193
2020-01-01 07:59:30,Svalbard,4074.654264338328
2020-01-01 08:00:00,Svalbard,4900.944169362219
2020-01-01 08:00:30,Svalbard,5475.710851368165
2020-01-01 08:01:00,Svalbard,5874.096705137928
2020-01-01 08:01:30,Svalbard,6152.465613432834
2020-01-01 08:02:00,Svalbard,6349.099039302499
2020-01-01 08:02:30,Svalbard,6489.188752691127
2020-01-01 08:03:00,Svalbard,6589.28099092356
2020-01-01 08:03:30,Svalbard,6660.368835167088
2020-01-01 08:04:00,Svalbard,6709.882682056962
2020-01-01 09:28:30,Svalbard,-5929.422115323974
2020-01-01 09:29:00,Svalbard,-5748.11897192477
2020-01-01 09:29:30,Svalbard,-5516.316808742753
2020-01-01 09:30:00,Svalbard,-5220.074886821722
2020-01-01 09:30:30,Svalbard,-4842.01221035635
2020-01-01 09:31:00,Svalbard,-4361.714851096634
2020-01-01 09:31:30,Svalbard,-3757.865538728218
2020-01-01 09:32:00,Svalbard,-3013.433630479334
2020-01-01 09:32:30,Svalbard,-2124.7087233531256
2020-01-01 09:33:00,Svalbard,-1112.1210635212537
2020-01-01 09:33:30,Svalbard,-25.905835740472444
2020-01-01 09:34:00,Svalbard,1061.8455493500892
2020-01-01 09:34:30,Svalbard,2078.527329245664
2020-01-01 09:35:00,Svalbard,2972.7084704743347
2020-01-01 09:35:30,Svalbard,3722.7551855263346
2020-01-01 09:36:00,Svalbard,4331.5917320492335
2020-01-01 09:36:30,Svalbard,4815.91853700375
2020-01-01 09:37:00,Svalbard,5197.029152870687
2020-01-01 09:37:30,Svalbard,5495.458985378742
2020-01-01 09:38:00,Svalbard,5728.751740098669
2020-01-01 09:38:30,Svalbard,5911.00378321677
2020-01-01 10:25:00,Antarctica,-1986.6554218772044
2020-01-01 10:25:30,Antarctica,-1488.2572305956448
2020-01-01 10:26:00,Antarctica,-962.2366797232759
2020-01-01 10:26:30,Antarctica,-417.2890023247822
2020-01-01 10:27:00,Antarctica,136.22820199429643
2020-01-01 10:27:30,Antarctica,687.1645356565723
2020-01-01 10:28:00,Antarctica,1224.6173032901775
2020-01-01 10:28:30,Antarctica,1738.9180366947592
2020-01-01 11:05:00,Svalbard,-4979.719216285614
2020-01-01 11:05:30,Svalbard,-4693.450985568091
2020-01-01 11:06:00,Svalbard,-4349.885505290025
2020-01-01 11:06:30,Svalbard,-3940.4582870429695
2020-01-01 11:07:00,Svalbard,-3457.5182130399235
2020-01-01 11:07:30,Svalbard,-2896.0913875903407
2020-01-01 11:08:00,Svalbard,-2256.2307856067814
2020-01-01 11:08:30,Svalbard,-1545.4640933119713
2020-01-01 11:09:00,Svalbard,-780.3354993371084
2020-01-01 11:09:30,Svalbard,14.17174573232727
2020-01-01 11:10:00,Svalbard,807.9410309965294
2020-01-01 11:10:30,Svalbard,1570.978779652609
2020-01-01 11:11:00,Svalbard,2278.622734159513
2020-01-01 11:11:30,Svalbard,2914.7349591978887
2020-01-01 11:12:00,Svalbard,3472.167010088372
2020-01-01 11:12:30,Svalbard,3951.1518881338325
2020-01-01 11:13:00,Svalbard,4356.841327042677
2020-01-01 11:13:30,Svalbard,4696.973594798743
2020-01-01 11:14:00,Svalbard,4980.138458180592
2020-01-01 11:42:30,Australia,-4071.76875331333
2020-01-01 11:43:00,Australia,-3634.1241250619587
2020-01-01 11:43:30,Australia,-3129.567527587535
2020-01-01 11:44:00,Australia,-2557.038607037913
2020-01-01 11:44:30,Australia,-1920.3007525157645
2020-01-01 11:45:00,Australia,-1229.2290153266729
2020-01-01 11:45:30,Australia,-500.11217941838584
2020-01-01 11:46:00,Australia,245.57395644034358
2020-01-01 11:46:30,Australia,983.9297256015229
2020-01-01 11:47:00,Australia,1692.1829121791968
2020-01-01 11:47:30,Australia,2351.865333393609
2020-01-01 11:48:00,Australia,2950.649244415379
2020-01-01 11:48:30,Australia,3482.5728777433014
2020-01-01 11:49:00,Australia,3947.0434091330476
2020-01-01 11:49:30,Australia,4347.27781958403
2020-01-01 11:59:30,Antarctica,-4549.12996657055
2020-01-01 12:00:00,Antarctica,-4212.847804840408
2020-01-01 12:00:30,Antarctica,-3816.8365497720574
2020-01-01 12:01:00,Antarctica,-3355.236415589722
2020-01-01 12:01:30,Antarctica,-2824.5805489102404
2020-01-01 12:02:00,Antarctica,-2225.5262091512122
2020-01-01 12:02:30,Antarctica,-1564.5806664682605
2020-01-01 12:03:00,Antarctica,-855.1583711857138
2020-01-01 12:03:30,Antarctica,-117.20284786491644
2020-01-01 12:04:00,Antarctica,625.031168655192
